Stage,Old Logit Bias,Old Class Count,IQ_7 Validation Old-Class Acc
Initial,0.0,10,0.5285714285714286
Initial,0.5,10,0.5285714285714286
Initial,1.0,10,0.5285714285714286
Initial,1.5,10,0.5285714285714286
Initial,2.0,10,0.5285714285714286
Initial,3.0,10,0.5285714285714286
After R1,0.0,10,0.22142857142857142
After R1,0.5,10,0.22857142857142856
After R1,1.0,10,0.25
After R1,1.5,10,0.2571428571428571
After R1,2.0,10,0.2714285714285714
After R1,3.0,10,0.32142857142857145
After R2,0.0,15,0.17857142857142858
After R2,0.5,15,0.17857142857142858
After R2,1.0,15,0.17857142857142858
After R2,1.5,15,0.17857142857142858
After R2,2.0,15,0.18571428571428572
After R2,3.0,15,0.19285714285714287
After R3,0.0,20,0.007142857142857143
After R3,0.5,20,0.02142857142857143
After R3,1.0,20,0.04285714285714286
After R3,1.5,20,0.07142857142857142
After R3,2.0,20,0.11428571428571428
After R3,3.0,20,0.15714285714285714
