dim1,dim2,operational_label,is_current_round
-8.178993225097656250e+00,3.642191314697265625e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.317004203796386719e+00,3.729218673706054688e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.227984905242919922e+00,3.752296829223632812e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.320898056030273438e+00,3.797515487670898438e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.315916061401367188e+00,3.735792160034179688e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.810180187225341797e+00,3.759461212158203125e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.028653144836425781e+00,3.644943618774414062e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.016686916351318359e+00,3.788922882080078125e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.264588356018066406e+00,3.705552673339843750e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.420941829681396484e+00,3.762682723999023438e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.917597770690917969e+00,3.717418670654296875e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.121061801910400391e+00,3.688865280151367188e+01,0.000000000000000000e+00,0.000000000000000000e+00
-8.164118766784667969e+00,3.644440078735351562e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.955118656158447266e+00,3.651713562011718750e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.005084037780761719e+00,3.779273605346679688e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.948976516723632812e+00,3.772022247314453125e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.560196399688720703e+00,3.798402404785156250e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.504548549652099609e+00,3.740102767944335938e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.650628566741943359e+00,3.800162506103515625e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.821556091308593750e+00,3.668408203125000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.593387603759765625e+00,3.743731307983398438e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.389657020568847656e+00,3.672607421875000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.794314861297607422e+00,3.747042846679687500e+01,0.000000000000000000e+00,0.000000000000000000e+00
-8.083062171936035156e+00,3.629784393310546875e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.506520748138427734e+00,3.662784576416015625e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.718090534210205078e+00,3.787738418579101562e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.878602504730224609e+00,3.688181304931640625e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.233753204345703125e+00,3.674514770507812500e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.628521919250488281e+00,3.721402740478515625e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.618404865264892578e+00,3.697986221313476562e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.278142452239990234e+00,3.754239654541015625e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.352751731872558594e+00,3.716716003417968750e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.281690120697021484e+00,3.779285430908203125e+01,0.000000000000000000e+00,0.000000000000000000e+00
