x,y,true_label,cluster_label
-6.8844347,-54.37999,10,5
-30.316935,-46.75088,10,5
-33.558544,-45.92825,10,5
-10.725803,-54.46824,10,5
-11.409508,-54.273163,10,5
-7.942148,-54.6389,10,5
-14.788838,-53.084053,10,5
-33.27373,-46.45569,10,5
-13.209759,-47.984016,10,5
-15.4391365,-51.422684,10,5
-14.8970585,-46.223778,10,5
-13.334198,-52.905415,10,5
-9.212882,-54.89479,10,5
-14.613236,-46.854195,10,5
-30.070747,-46.298775,10,5
-13.88912,-53.656208,10,5
-16.67286,-52.21519,10,5
-10.1274185,-54.68907,10,5
-21.88951,-49.130806,10,5
-15.656934,-54.035046,10,5
-33.03703,-45.439934,10,5
-15.1366005,-45.454044,10,5
-15.874452,-51.792282,10,5
-32.255234,-46.240505,10,5
-11.9984865,-52.30535,10,5
-15.180518,-50.029964,10,5
-14.296869,-52.715626,10,5
9.403914,-65.327576,10,2
-22.838184,-48.94287,10,5
-14.138662,-47.70239,10,5
-30.032005,-45.979565,10,5
-7.1545296,-54.4236,10,5
-9.354313,-56.007053,10,5
-22.007504,-49.12132,10,5
-32.586628,-46.66383,10,5
41.54953,-1.4906876,11,8
14.816084,3.257638,11,8
12.325295,17.15901,11,8
10.173156,21.030802,11,8
12.540034,13.236001,11,8
11.0262165,19.115297,11,8
-8.034625,4.6915226,11,6
13.136131,8.626635,11,8
12.3366995,14.498517,11,8
-51.969753,-18.522951,11,1
41.54946,-1.4968873,11,8
40.849094,-3.9395394,11,7
13.449696,-27.705418,11,4
14.215521,6.4292316,11,8
10.11708,21.356457,11,8
12.552903,16.594433,11,8
17.425781,-3.3680656,11,7
17.326515,-3.2454422,11,7
10.445698,20.695404,11,8
-47.117897,-17.583632,11,1
12.318811,13.954944,11,8
-8.031991,4.692674,11,6
13.80141,8.702741,11,8
11.012591,18.252634,11,8
12.396062,15.897085,11,8
-1.0403332,-7.547396,11,4
-6.5746484,5.1990466,11,6
14.046118,4.284132,11,8
-33.856472,-9.983343,11,1
13.991841,8.5178795,11,8
14.028191,7.7182517,11,8
10.677587,18.377043,11,8
9.695971,18.615826,11,8
-12.957682,8.962354,11,6
-6.774358,5.107553,11,6
35.23907,-29.546131,12,2
31.356314,-51.84154,12,2
28.262722,-54.09012,12,2
19.87866,-59.953323,12,2
11.818109,-64.8791,12,2
30.520664,-52.611748,12,2
10.903489,-65.13951,12,2
35.281258,-30.143013,12,2
30.607395,-52.623226,12,2
36.710335,-31.686699,12,2
31.419949,-52.35276,12,2
18.070892,-61.098866,12,2
36.508068,-31.385563,12,2
37.346207,-32.670452,12,2
10.418952,-65.9142,12,2
35.889217,-30.407045,12,2
35.80044,-29.701508,12,2
12.818109,-62.79635,12,2
11.886715,-64.14928,12,2
38.85005,-35.120728,12,2
17.806309,-61.259197,12,2
20.142952,-59.78394,12,2
15.477016,-62.62492,12,2
12.973749,-63.636982,12,2
12.899547,-64.52883,12,2
28.370087,-53.539104,12,2
38.24391,-34.11866,12,2
39.343758,-36.08996,12,2
38.923622,-35.250885,12,2
18.418613,-60.885117,12,2
37.58709,-33.05634,12,2
29.01328,-53.439964,12,2
15.318532,-62.818836,12,2
12.837349,-64.527756,12,2
28.939322,-54.048527,12,2
32.508656,42.0613,13,3
59.699535,21.747028,13,9
6.7424116,39.620308,13,3
7.345556,40.797695,13,3
35.997597,19.066128,13,3
35.410786,21.678415,13,3
34.873505,21.585814,13,3
33.302597,32.914925,13,3
34.864307,22.361828,13,3
32.839855,37.78169,13,3
33.570545,33.89176,13,3
33.929554,21.530052,13,3
31.996939,41.52069,13,3
32.819557,38.350094,13,3
5.7391114,36.864635,13,3
33.390213,34.234154,13,3
6.7701254,38.591537,13,3
6.4742904,40.350708,13,3
31.75927,42.08682,13,3
33.225174,21.526112,13,3
31.516287,41.642673,13,3
36.716938,17.24651,13,3
36.2716,18.465052,13,3
36.635487,17.483402,13,3
6.324322,39.850636,13,3
35.09902,23.314493,13,3
32.2639,39.0665,13,3
33.742645,33.371708,13,3
35.5926,19.945478,13,3
35.090538,23.872284,13,3
6.601038,37.762047,13,3
5.6747246,37.470108,13,3
5.0636272,38.410046,13,3
32.920746,37.044704,13,3
32.580494,38.91351,13,3
-10.711702,-29.073788,14,4
11.195896,-29.653296,14,4
6.598441,-30.1492,14,4
-1.3029904,-8.343497,14,4
10.915898,-30.268564,14,4
-10.236803,-29.537836,14,4
-3.5125222,-12.287343,14,4
-9.605056,-29.856287,14,4
13.0911665,-28.35986,14,4
-1.388679,-11.374398,14,4
-23.25673,-6.1015363,14,1
11.222464,-29.228916,14,4
-11.364823,-29.064018,14,4
7.1826215,-31.481451,14,4
13.055916,-28.496323,14,4
-0.9739099,-11.639999,14,4
-4.2167444,-12.229808,14,4
-3.703118,-12.631452,14,4
11.600655,-30.063528,14,4
-4.6831203,-10.606365,14,4
-23.268036,-6.14687,14,1
6.291041,-32.497902,14,4
-10.82274,-29.991806,14,4
4.50888,-33.27938,14,4
6.8832707,-31.305864,14,4
-1.522732,-9.868721,14,4
-3.8229806,-14.166409,14,4
-1.6500412,-11.477968,14,4
4.9833646,-33.06803,14,4
-11.265216,-29.769358,14,4
-3.5313652,-14.799593,14,4
8.001173,-32.64481,14,4
