x,y,true_label,cluster_label
54.666378,-18.522152,30,1
66.2482,1.927601,30,1
66.699,-6.242977,30,-1
55.440678,-15.971899,30,1
65.93594,1.8627441,30,1
56.14311,-16.155905,30,1
58.114113,-2.8169973,30,1
67.56261,0.13427487,30,1
51.474117,-7.447861,30,1
64.92319,-5.341534,30,1
50.96552,-7.2510214,30,-1
54.83015,-15.232613,30,-1
58.869476,-1.5399706,30,1
60.682503,-3.0381303,30,1
53.090256,-16.881784,30,-1
69.24692,-5.1127234,30,-1
66.843,-5.8984447,30,1
53.4868,-17.84083,30,1
51.737293,-10.00056,30,-1
69.63181,-2.5478642,30,-1
51.751144,-8.571554,30,1
63.225967,-4.2472157,30,1
62.24436,-3.621431,30,1
66.55396,1.1757096,30,1
54.796936,-3.5691333,30,1
55.018887,-3.4129877,30,1
69.52495,-2.1006312,30,-1
57.816906,-1.9364525,30,1
57.737804,-1.2860577,30,1
64.5467,-5.089544,30,1
54.777016,-18.939688,30,-1
61.023804,-3.0704992,30,1
50.708363,-7.7582808,30,1
54.157055,-15.565097,30,1
69.67364,-4.3764567,30,-1
14.641525,-40.466003,31,4
25.354933,-37.85132,31,4
16.93652,-30.621872,31,4
25.825108,-31.486177,31,4
9.21204,-39.748955,31,4
19.5145,-30.21485,31,4
6.349726,-36.72761,31,4
23.44996,-29.437536,31,4
26.015005,-36.96941,31,4
19.031939,-30.29945,31,4
23.96061,-30.012054,31,4
25.558695,-36.82771,31,4
27.048285,-33.15103,31,4
23.27217,-29.9897,31,4
7.63061,-35.308666,31,4
11.620511,-36.32022,31,4
28.133793,-32.50852,31,4
7.6944504,-38.84273,31,4
15.473223,-31.5653,31,4
6.8104334,-36.00194,31,4
9.642822,-38.88075,31,4
27.88783,-32.909016,31,4
24.865984,-38.11041,31,4
7.385826,-38.581337,31,4
9.632674,-41.67359,31,4
12.387386,-36.985737,31,4
24.086596,-40.289112,31,4
11.232093,-35.893066,31,4
26.43758,-32.113125,31,4
5.6105003,-36.820156,31,4
23.9461,-40.203926,31,4
9.190284,-40.90173,31,4
9.614801,-42.30243,31,4
