x,y,true_label,cluster_label
11.283435,12.397417,4,1
10.19437,10.732734,4,1
8.780154,14.155577,4,1
8.1087675,8.931127,4,1
8.743456,9.322947,4,1
7.706172,8.719076,4,1
7.7295713,8.712558,4,1
10.986733,14.050249,4,1
2.9571981,12.32672,4,0
7.173543,14.809887,4,-1
7.4248614,16.067684,4,1
8.893237,9.4479,4,1
11.060368,11.853604,4,1
10.824532,13.884687,4,1
7.4218564,8.599717,4,1
7.382857,8.809718,4,1
-0.8550329,2.9809427,4,1
11.386579,13.683365,4,1
0.08082195,2.9397507,4,1
-0.13681343,2.7884881,4,1
11.046936,11.818531,4,1
-0.2880348,2.716587,4,1
10.682229,11.330014,4,1
7.3689923,14.544211,4,-1
10.418278,10.993705,4,1
9.26508,9.7803545,4,1
10.913561,11.649119,4,1
11.3524685,13.544677,4,1
10.963999,11.710502,4,1
8.334207,14.219023,4,1
7.907596,8.839048,4,1
7.2353296,8.787823,4,1
7.215675,8.61003,4,1
8.525921,9.153788,4,1
7.1420217,8.735385,4,1
7.3414974,8.684941,4,1
8.673133,9.2730255,4,1
8.902264,14.065642,4,1
7.169213,8.596709,4,1
8.542154,14.220352,4,1
9.323303,9.836325,4,1
11.436162,13.526929,4,1
8.395445,9.08197,4,1
9.414192,9.926259,4,1
11.284715,12.2884245,4,1
8.148528,8.969989,4,1
7.081264,8.479638,4,1
11.013728,11.783871,4,1
11.00856,11.765888,4,1
8.701361,9.309246,4,1
11.340573,12.515081,4,1
9.292752,9.806136,4,1
7.6674213,14.434672,4,1
11.4212475,13.591668,4,1
7.267505,16.057524,4,1
7.532881,15.957777,4,1
7.9936123,14.449324,4,1
9.35076,9.8630085,4,1
11.107689,14.2804365,4,1
8.748624,14.179929,4,1
-0.52919966,2.7481973,4,1
7.118325,14.525054,4,-1
7.383723,8.8045435,4,1
-0.2581825,2.7187529,4,1
11.129918,13.757651,4,1
-0.19228227,2.7496235,4,1
10.171386,10.707749,4,1
7.5976934,14.503799,4,1
10.239864,10.778904,4,1
7.335044,15.092347,4,1
11.112193,14.306171,4,1
7.8652534,16.38832,4,1
8.016763,15.574006,4,1
7.5308256,15.876227,4,1
8.731273,14.101901,4,-1
9.1567745,9.673792,4,1
10.767729,13.919235,4,1
-0.55158377,2.7886283,4,1
10.520937,11.108481,4,1
6.858781,8.822322,4,-1
7.902672,15.735829,4,1
7.301588,16.009327,4,1
10.41311,10.990173,4,1
7.7645564,14.602332,4,1
7.436719,15.647279,4,1
11.316449,12.370914,4,1
7.7705173,16.335487,4,1
-0.8645499,2.955894,4,-1
8.618483,9.229266,4,1
10.760899,13.956936,4,1
7.7768927,14.435013,4,1
11.238545,13.527281,4,1
11.257372,12.446597,4,1
8.004341,14.395581,4,1
7.941849,15.828219,4,1
7.8898654,16.390676,4,1
7.718205,16.138363,4,1
-0.53013563,2.8656797,4,1
11.1271105,14.16395,4,1
8.368725,14.16141,4,1
-0.6175373,2.8026214,4,1
7.7750306,16.347431,4,1
11.1733675,14.314583,4,1
7.2326465,15.367159,4,1
7.694482,16.36745,4,1
7.8641357,15.934516,4,1
8.454927,14.2071,4,1
10.894632,11.617449,4,1
-0.42605728,2.5510178,4,1
8.508082,14.171282,4,1
-0.6286495,2.8259187,4,1
7.209044,8.782087,4,1
8.199105,14.288497,4,1
8.354272,14.201044,4,1
7.834084,15.948592,4,1
8.205791,8.973409,4,1
