x,y,true_label,cluster_label
16.016748,-68.32527,20,12
21.19573,-83.585304,20,11
7.4957404,-66.26911,20,-1
-6.3034425,-24.614555,20,13
-6.8927627,-38.311523,20,13
8.349353,-69.221535,20,12
12.297523,-90.621086,20,11
-12.562603,-81.65514,20,14
18.96796,-68.9534,20,12
-4.391838,-29.424255,20,13
-1.147836,-32.733105,20,13
-9.309856,3.909645,20,-1
-0.6091832,-32.987663,20,13
22.899313,-72.03044,20,12
22.949232,-72.132866,20,12
-9.994264,-22.590261,20,-1
21.38197,-70.057304,20,12
24.168968,-73.51852,20,12
-4.851707,-28.858797,20,13
8.830973,-69.22523,20,12
21.514336,-83.217575,20,11
-2.907926,-76.72548,20,12
9.707989,-68.97876,20,12
-4.5508947,-30.41896,20,13
23.484125,-72.71997,20,12
-6.271538,-36.473663,20,13
14.601623,-68.205635,20,12
-2.53441,-76.401505,20,12
-9.916449,-80.76876,20,-1
-11.232352,-81.27532,20,14
-2.7434752,-76.55358,20,12
6.166824,-70.15527,20,12
-9.233939,-23.411219,20,-1
-14.041939,-81.9961,20,14
-8.1967125,-40.29483,20,13
-7.3707223,-37.974583,20,13
15.530539,-88.39311,20,11
1.812619,-74.75771,20,12
17.070068,-87.25396,20,11
21.769798,-70.55644,20,12
-2.1623273,-76.0755,20,12
-7.597318,-39.52437,20,13
6.8170543,-69.78626,20,12
15.935772,-88.10223,20,11
-14.048742,-81.99385,20,14
-7.059623,-24.600388,20,13
10.125794,-92.01764,20,11
11.25314,-91.322296,20,11
17.574423,-86.86652,20,11
-4.5862427,-30.579721,20,13
14.552764,-68.13159,20,12
-10.886435,-81.167175,20,14
9.928474,-92.20546,20,11
10.451883,-92.149765,20,11
16.507364,-87.693504,20,11
21.790522,-82.76525,20,11
-1.5338337,-31.88233,20,13
-8.524222,-40.12137,20,13
1.6220834,-73.96549,20,12
23.049099,-80.508896,20,11
10.593423,-68.669945,20,12
10.404364,-91.65655,20,11
-6.1472855,-27.439402,20,13
-9.89537,-25.642195,20,13
-8.969692,-25.362223,20,13
-15.26792,-82.19579,20,14
0.8687904,-73.591156,20,12
15.309025,-68.16997,20,12
14.463714,-89.129295,20,11
-15.066134,-82.1714,20,14
-7.2020526,-25.268915,20,13
21.467386,-70.35566,20,12
-6.2719054,-36.073906,20,13
20.902256,-69.85119,20,12
5.6628704,-70.46033,20,12
24.256708,-73.703964,20,12
-10.229649,-22.101553,20,-1
22.102314,-70.98759,20,12
-6.542767,-79.101,20,12
-9.660759,-25.695007,20,13
18.8228,-85.807274,20,11
-12.6103115,-81.668755,20,14
21.366682,-83.41155,20,11
-0.17926416,-74.39415,20,12
14.273904,-68.26215,20,12
6.899634,-69.76199,20,12
9.524835,-69.10696,20,12
5.9181986,-70.30059,20,12
0.24174431,-74.2606,20,12
12.564439,-68.39984,20,12
-4.073889,-77.50987,20,12
-10.356702,-25.22182,20,13
22.560936,-81.534935,20,11
13.712002,-89.649086,20,11
-5.7930336,-78.671455,20,12
18.979939,-68.961,20,12
-5.4570785,-78.466934,20,12
-1.2976156,-32.08655,20,13
-1.7174065,-33.057304,20,13
0.0799235,-74.236084,20,12
-13.909891,-81.97359,20,14
15.134388,-67.503555,20,12
22.083588,-82.344246,20,11
20.8015,-69.780464,20,12
-6.712985,-24.952333,20,13
0.566521,-74.20604,20,12
-15.486576,-82.2136,20,13
8.146751,-68.67737,20,12
-6.6056814,-24.716297,20,13
-10.031197,-25.657457,20,-1
13.856224,-89.5526,20,11
-3.8085604,-36.44978,20,13
-5.465795,-37.67342,20,13
14.327826,-89.220276,20,11
-6.2163296,-36.237972,20,13
-5.100331,-28.999224,20,13
0.09833161,-33.64734,20,13
0.88061273,-73.90454,20,12
-3.054791,-76.709656,20,12
15.5809,-68.208015,20,12
-15.1210785,-82.1784,20,14
1.2900337,-73.24177,20,12
22.088884,-69.64553,20,12
24.301546,-73.76677,20,12
-4.00831,-28.927814,20,13
-0.29332533,-33.484863,20,13
-10.54771,-81.04247,20,14
9.705258,-68.76915,20,12
7.0799756,-69.62893,20,12
-0.5507615,-34.740593,20,13
-5.3660355,-28.222412,20,13
21.544123,-70.381256,20,12
-0.8157367,-34.67765,20,13
18.866316,-85.77617,20,11
-0.27060148,-74.56235,20,12
19.259933,-69.06207,20,12
15.908319,-68.27431,20,12
-13.484028,-81.88909,20,14
-0.32864708,-34.537846,20,13
10.495064,-91.63119,20,11
12.064212,-68.47741,20,12
-5.485815,-78.474686,20,12
-11.051486,-25.592566,20,-1
-6.334603,-27.110666,20,13
24.252777,-73.81963,20,12
