dim1,dim2,true_label,operational_label
5.561883926391601562e+00,-5.450218677520751953e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.755481243133544922e+00,-3.631839513778686523e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.353086471557617188e+00,-2.737705230712890625e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.440000534057617188e+00,-2.148878812789916992e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.087112712860107422e+01,-2.744266271591186523e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.087740802764892578e+01,-2.937898397445678711e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.059546375274658203e+01,-2.463504314422607422e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.039442634582519531e+01,-3.871919155120849609e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.077622032165527344e+01,-3.355933189392089844e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.076548004150390625e+01,-3.195951461791992188e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.467722892761230469e+00,-2.141784429550170898e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.845355987548828125e+00,-4.241722106933593750e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.817296028137207031e+00,-4.260873794555664062e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.097974967956542969e+01,-2.908022165298461914e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.086342811584472656e+00,-4.223911285400390625e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.797106742858886719e+00,-4.283063411712646484e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.992096424102783203e+00,-3.992413997650146484e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.073603725433349609e+01,-3.412942647933959961e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.506677150726318359e+00,-3.174412250518798828e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.829372882843017578e+00,-4.224352359771728516e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.998276233673095703e+00,-3.488955974578857422e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.018510818481445312e+00,-4.156770706176757812e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.983625411987304688e+00,-2.147190093994140625e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.058836555480957031e+01,-2.499387025833129883e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.090690803527832031e+01,-3.033876180648803711e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.665368080139160156e+00,-5.310249328613281250e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.599500656127929688e+00,-2.117995023727416992e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.311771392822265625e+00,-2.801994800567626953e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.107528686523437500e+00,-2.870557069778442383e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.104468345642089844e+00,-3.116699695587158203e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.874675750732421875e+00,-4.208177566528320312e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.958501815795898438e+00,-2.142435312271118164e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.081922721862792969e+01,-2.734597206115722656e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.076178455352783203e+01,-3.313725709915161133e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.224754333496093750e+00,-4.360221385955810547e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.026733970642089844e+01,-3.984690189361572266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.013978195190429688e+01,-2.209965467453002930e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.224111557006835938e+00,-4.346739292144775391e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.033354949951171875e+01,-3.936432361602783203e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.894955635070800781e+00,-2.108928680419921875e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.093485260009765625e+01,-2.883465290069580078e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.588435649871826172e+00,-5.408227443695068359e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.580762386322021484e+00,-5.463286399841308594e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.354633331298828125e+00,-3.266677618026733398e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.090322113037109375e+01,-2.857023477554321289e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.454816818237304688e+00,-3.896830081939697266e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.569437026977539062e+00,-5.433576107025146484e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.207735061645507812e+00,-2.747497081756591797e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.859188079833984375e+00,-2.108105659484863281e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.062629604339599609e+01,-2.505534410476684570e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.668975830078125000e+00,-2.098743200302124023e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.139005661010742188e+00,-2.278440952301025391e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.543028831481933594e+00,-5.461821079254150391e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.037790298461914062e+00,-2.976062536239624023e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.118113517761230469e+00,-4.263057231903076172e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.432895660400390625e+00,-2.725726127624511719e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.009684562683105469e+01,-4.085035800933837891e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.595960617065429688e+00,-5.392270088195800781e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.296404361724853516e+00,-3.319815397262573242e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.103091239929199219e+00,-2.922057867050170898e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.258302688598632812e+00,-2.210449934005737305e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.568712234497070312e+00,-5.437856674194335938e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.065835857391357422e+01,-2.509640455245971680e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.481622219085693359e+00,-3.875956535339355469e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.677011489868164062e+00,-5.304321289062500000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.645718574523925781e+00,-3.108774423599243164e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.428194999694824219e+00,-3.907943725585937500e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.216444969177246094e+00,-4.304934978485107422e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.176738739013671875e+00,-4.373322010040283203e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.439266681671142578e+00,-3.234540462493896484e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.649827003479003906e+00,-2.549957513809204102e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.079073143005371094e+01,-3.221262454986572266e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.570790290832519531e+00,-3.552648067474365234e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.894685268402099609e+00,-3.147680044174194336e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.570023536682128906e+00,-3.539949417114257812e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.066099452972412109e+01,-3.505373239517211914e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400120735168457031e+00,-3.930020093917846680e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.460067749023437500e+00,-4.267197608947753906e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.497866630554199219e+00,-3.187340497970581055e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.717766761779785156e+00,-2.087188482284545898e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.001318740844726562e+01,-2.165190219879150391e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.272595405578613281e+00,-3.413842439651489258e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.668705940246582031e+00,-2.541888475418090820e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.644260406494140625e+00,-3.631721973419189453e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.804488182067871094e+00,-4.187367439270019531e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.332449913024902344e+00,-3.977704048156738281e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.336640357971191406e+00,-3.300429821014404297e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.382208824157714844e+00,-3.279230833053588867e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.549522399902343750e+00,-3.141029834747314453e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.399125099182128906e+00,-3.941041469573974609e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.890923500061035156e+00,-3.740489959716796875e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.089758872985839844e+00,-2.821269750595092773e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.021349811553955078e+01,-4.025366783142089844e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.559845447540283203e+00,-5.445237159729003906e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.951309204101562500e+00,-3.517637014389038086e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.875257492065429688e+00,-2.418467998504638672e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.027124691009521484e+01,-3.986309766769409180e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.009632110595703125e+00,-3.043220043182373047e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.335844993591308594e+00,-3.240762233734130859e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.915142059326171875e+00,-3.536016225814819336e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.213760375976562500e+00,-4.338699340820312500e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.085648727416992188e+01,-3.171897172927856445e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.142351150512695312e+00,-3.049068212509155273e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.149402618408203125e+00,-2.274278402328491211e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.003210067749023438e+00,-2.911206245422363281e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.081356048583984375e+00,-4.207644462585449219e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.080045413970947266e+01,-3.341842651367187500e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.013445377349853516e+01,-4.081024169921875000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.593647003173828125e+00,-2.117329835891723633e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.825523376464843750e+00,-4.296890258789062500e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.389575958251953125e+00,-3.325559139251708984e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.856557369232177734e+00,-4.232333660125732422e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.019915103912353516e+00,-3.471822500228881836e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.078728675842285156e+00,-2.316441297531127930e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.164072036743164062e+00,-4.317864894866943359e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.086763000488281250e+01,-3.057831764221191406e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.740079879760742188e+00,-2.077056169509887695e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.004273986816406250e+01,-2.172592878341674805e+00,0.000000000000000000e+00,0.000000000000000000e+00
